Name,Age,AnnualIncome,Debt,Savings,EducationLevel,EmploymentStatus,MaritalStatus,HouseholdSize,YearsInCurrentJob,HasChildren,HomeOwnership,Location,CreditHistory,DrivingExperience,MonthlyExpenses,EmploymentType,LoanApprovalHistory,HealthCondition,ProbabilityOfCarPurchase
Customer1,56,35287,6570,48563,High School,Unemployed,Married,3,7,0,Own,Urban,Excellent,10.590050032226682,3595.8327805341905,Contract,Approved,Fair,0.07171052088493268
Customer2,46,64387,3249,26390,High School,Self-Employed,Divorced,1,10,0,Rent,Rural,Fair,3.841437052581946,4066.055011126685,Part-Time,Denied,Fair,0.04356068057242002
Customer3,32,38512,9110,23128,Bachelor,Employed,Divorced,1,4,0,Own,Suburban,Excellent,2.972948336107624,1880.5742739954558,Contract,Approved,Poor,0.21725740049386455
Customer4,60,31342,40363,13489,College,Employed,Married,5,9,1,Own,Urban,Excellent,3.3478773213903192,662.1681987463435,Full-Time,Approved,Poor,0.9710724586278197
Customer5,25,93076,13605,38314,Master,Employed,Married,4,10,0,Own,Rural,Excellent,2.919536683333912,4697.506061094805,Full-Time,Denied,Good,0.9792381683199844
Customer6,38,49216,12115,32658,College,Employed,Married,2,2,0,Own,Suburban,Fair,12.584455715198436,2053.309272330337,Full-Time,Approved,Fair,0.654927734772136
Customer7,56,109767,39062,6852,High School,Unemployed,Single,2,9,1,Rent,Urban,Fair,4.733170395655454,979.1679347811787,Part-Time,Approved,Excellent,0.8801066672064047
Customer8,36,56614,22911,29450,College,Unemployed,Married,2,9,1,Own,Suburban,Fair,5.777172891561806,2713.355921269163,Part-Time,Approved,Poor,0.2139617308407954
Customer9,40,66258,38525,2551,High School,Self-Employed,Single,4,5,1,Rent,Urban,Poor,4.297870738877355,3958.105080488602,Part-Time,Denied,Good,0.9720420941766236
Customer10,28,72078,32556,6411,College,Unemployed,Divorced,5,1,1,Rent,Rural,Fair,19.19887078452156,1497.4129157790162,Part-Time,Denied,Good,0.14278485013956466
Customer11,28,113524,12595,49159,Bachelor,Unemployed,Divorced,4,7,1,Own,Rural,Poor,17.237731799884873,1712.705225600135,Full-Time,Denied,Poor,0.10112518818165828
Customer12,41,42219,1969,33243,PhD,Self-Employed,Married,1,10,1,Rent,Suburban,Poor,5.379401909678896,1592.2174405936241,Full-Time,Denied,Excellent,0.1122115392472729
Customer13,53,30235,43753,21800,Bachelor,Self-Employed,Divorced,1,10,0,Mortgage,Suburban,Poor,7.223759584520394,4962.528737742552,Full-Time,Denied,Excellent,0.5731279232725647
Customer14,57,72929,17275,10403,Bachelor,Self-Employed,Divorced,2,4,1,Rent,Urban,Good,4.987964003794946,1388.3168017874414,Part-Time,Denied,Fair,0.7809744007180524
Customer15,41,97444,4470,7239,PhD,Unemployed,Divorced,3,9,0,Rent,Rural,Good,10.345643229755652,3089.840976347558,Part-Time,Denied,Poor,0.3666671778746331
Customer16,20,38567,10225,6710,PhD,Unemployed,Divorced,2,6,1,Own,Urban,Good,1.3726001170108182,4663.69088745634,Full-Time,Denied,Excellent,0.9778959877861265
Customer17,39,100792,42324,21384,Master,Self-Employed,Single,3,3,0,Own,Rural,Poor,13.755992169039118,1161.0345599500065,Full-Time,Approved,Poor,0.43442013811832947
Customer18,19,95441,41974,21038,Master,Self-Employed,Single,4,6,0,Rent,Suburban,Poor,10.94000484653519,4868.843890404651,Part-Time,Approved,Good,0.15044855077321628
Customer19,41,114555,42759,40846,Bachelor,Self-Employed,Married,1,10,1,Own,Urban,Excellent,18.07413963772096,4763.64755478031,Contract,Approved,Good,0.4659667481861367
Customer20,61,103698,23196,22447,Bachelor,Unemployed,Married,3,6,1,Mortgage,Urban,Poor,4.1234610022398686,4480.573941762182,Full-Time,Approved,Good,0.6790371654224399
Customer21,47,35415,40287,2285,High School,Unemployed,Married,4,5,0,Mortgage,Rural,Good,16.278075675161503,1465.50434598501,Full-Time,Denied,Poor,0.8322257805043787
Customer22,55,66159,13669,37991,High School,Employed,Divorced,1,2,1,Own,Rural,Poor,16.0472592748676,3353.247752049425,Full-Time,Approved,Fair,0.4587682899565929
